src_ip,dst_ip,src_port,dst_port,protocol,packet_count,duration,total_bytes,avg_packet_size,min_iat,max_iat,mean_iat,std_iat,bytes_per_second,packets_per_second,avg_bytes_per_packet,dns_query_length,dns_subdomain_depth,dns_entropy,flag_high_packet,flag_long_duration,flag_high_dns_entropy,flag_deep_dns,suspicion_score,ml_anomaly_score,ml_score_normalized,rule_score_normalized,final_threat_score,severity
192.168.118.134,185.199.110.154,48400,443,TCP,11,0.272202,2719,247.18,5.8e-05,0.122366,0.02722,0.038823,9988.9,40.41,247.18,0,0,0.0,False,False,False,False,0,0.1867820069892782,0.9873849252147706,0.0,0.3949539700859082,MEDIUM
192.168.118.134,185.199.110.154,48410,443,TCP,473,182.393606,36400,76.96,1.8e-05,58.657996,0.386427,4.519182,199.57,2.59,76.96,0,0,0.0,False,False,False,False,0,-0.0335100665327315,0.420586013955245,0.0,0.168234405582098,LOW
185.199.110.154,192.168.118.134,443,48368,TCP,11,0.220058,8123,738.45,0.0,0.13968,0.022006,0.042273,36913.0,49.99,738.45,0,0,0.0,False,False,False,False,0,0.1788045471447294,0.9668593770994178,0.0,0.3867437508397671,MEDIUM
185.199.110.154,192.168.118.134,443,48380,TCP,11,0.203797,8123,738.45,0.0,0.123658,0.02038,0.038971,39858.32,53.98,738.45,0,0,0.0,False,False,False,False,0,0.1789571498414692,0.9672520151139614,0.0,0.3869008060455846,MEDIUM
185.199.110.154,192.168.118.134,443,48410,TCP,791,182.325871,2863656,3620.3,0.0,58.659183,0.230792,3.498343,15706.25,4.34,3620.3,0,0,0.0,True,False,False,False,1,-0.1856308820758326,0.029187852181956,0.5,0.3116751408727824,MEDIUM
185.199.110.154,192.168.118.134,443,48400,TCP,11,0.204404,8123,738.45,0.0,0.12195,0.02044,0.036872,39739.9,53.81,738.45,0,0,0.0,False,False,False,False,0,0.1789571498414692,0.9672520151139614,0.0,0.3869008060455846,MEDIUM
185.199.110.154,192.168.118.134,443,48366,TCP,11,0.204189,8123,738.45,0.0,0.135643,0.020419,0.041202,39781.76,53.87,738.45,0,0,0.0,False,False,False,False,0,0.1789571498414692,0.9672520151139614,0.0,0.3869008060455846,MEDIUM
185.199.110.154,192.168.118.134,443,48396,TCP,10,0.203202,8069,806.9,0.0,0.136605,0.022578,0.043068,39709.25,49.21,806.9,0,0,0.0,False,False,False,False,0,0.176836824005644,0.9617965379556284,0.0,0.3847186151822513,MEDIUM
192.168.118.134,192.168.118.2,57630,53,UDP,1,0.0,80,80.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20,2,3.246,False,False,False,False,0,0.156342561363609,0.9090659718174344,0.0,0.3636263887269738,MEDIUM
192.168.118.134,192.168.118.2,36753,53,UDP,2,0.000121,160,80.0,0.000121,0.000121,0.000121,0.0,1323646.23,16545.58,80.0,20,2,3.246,False,False,False,False,0,0.1520401160813703,0.8979960260734132,0.0,0.3591984104293653,MEDIUM
192.168.118.2,192.168.118.134,53,36753,UDP,2,0.023212,528,264.0,0.023212,0.023212,0.023212,0.0,22746.9,86.16,264.0,20,2,3.246,False,False,False,False,0,0.0376626603691825,0.60370937138892,0.0,0.241483748555568,LOW
192.168.118.2,192.168.118.134,53,57630,UDP,1,0.0,142,142.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,20,2,3.246,False,False,False,False,0,0.1519305203474536,0.8977140425155415,0.0,0.3590856170062166,MEDIUM
